from	to	interaction
424	36	shm
265	44	shm
46	72	shm
1945	78	shm
621	158	shm
72	163	shm
970	213	shm
326	214	shm
137	225	shm
292	237	shm
1971	267	shm
4	311	shm
1995	315	shm
1782	334	shm
14	371	shm
1890	398	shm
46	399	shm
292	402	shm
289	435	shm
296	469	shm
1112	470	shm
169	507	shm
336	543	shm
78	545	shm
1075	547	shm
1013	595	shm
385	609	shm
865	610	shm
14	613	shm
265	615	shm
336	621	shm
313	628	shm
214	630	shm
143	646	shm
474	654	shm
225	657	shm
337	680	shm
1279	726	shm
364	727	shm
1466	734	shm
137	736	shm
109	741	shm
280	745	shm
100	754	shm
72	774	shm
547	784	shm
437	790	shm
82	830	shm
1835	834	shm
1279	855	shm
287	859	shm
485	862	shm
865	864	shm
1782	865	shm
865	867	shm
131	868	shm
872	869	shm
265	870	shm
610	873	shm
266	875	shm
1279	878	shm
481	881	shm
223	890	shm
1765	891	shm
80	893	shm
1554	895	shm
990	896	shm
485	898	shm
280	899	shm
428	904	shm
111	905	shm
830	913	shm
1663	915	shm
387	916	shm
142	917	shm
1144	926	shm
349	931	shm
413	936	shm
272	937	shm
594	938	shm
75	943	shm
695	944	shm
276	946	shm
1387	949	shm
225	953	shm
1985	958	shm
115	961	shm
1883	965	shm
281	967	shm
336	973	shm
72	974	shm
603	976	shm
1482	979	shm
389	981	shm
1446	982	shm
289	984	shm
130	990	shm
272	992	shm
208	996	shm
396	999	shm
228	1002	shm
414	1007	shm
161	1012	shm
681	1014	shm
303	1016	shm
335	1018	shm
163	1025	shm
1439	1027	shm
1807	1029	shm
51	1034	shm
399	1035	shm
477	1041	shm
311	1042	shm
113	1045	shm
72	1050	shm
74	1053	shm
177	1057	shm
1674	1061	shm
46	1062	shm
604	1063	shm
1883	1068	shm
715	1069	shm
461	1074	shm
845	1082	shm
1071	1085	shm
170	1087	shm
16	1090	shm
1986	1091	shm
261	1092	shm
1389	1093	shm
444	1098	shm
1507	1101	shm
878	1104	shm
872	1107	shm
78	1108	shm
465	1111	shm
834	1118	shm
754	1129	shm
1366	1130	shm
1331	1131	shm
1971	1133	shm
945	1135	shm
324	1140	shm
268	1141	shm
681	1143	shm
24	1146	shm
444	1149	shm
950	1150	shm
185	1151	shm
51	1157	shm
44	1161	shm
1805	1163	shm
298	1164	shm
1323	1169	shm
1601	1170	shm
256	1174	shm
414	1176	shm
134	1179	shm
59	1182	shm
547	1183	shm
1415	1186	shm
1075	1188	shm
324	1193	shm
561	1194	shm
786	1200	shm
539	1203	shm
682	1212	shm
364	1213	shm
137	1216	shm
183	1217	shm
281	1220	shm
161	1225	shm
44	1234	shm
568	1236	shm
921	1246	shm
123	1247	shm
346	1249	shm
1642	1251	shm
253	1258	shm
156	1262	shm
204	1263	shm
261	1264	shm
94	1265	shm
273	1269	shm
1193	1273	shm
655	1277	shm
1735	1280	shm
1183	1282	shm
205	1288	shm
469	1294	shm
208	1296	shm
256	1298	shm
46	1300	shm
225	1301	shm
1144	1307	shm
4	1309	shm
1684	1316	shm
72	1319	shm
313	1320	shm
498	1321	shm
51	1323	shm
518	1324	shm
1225	1325	shm
953	1328	shm
1025	1329	shm
784	1331	shm
1054	1332	shm
1163	1334	shm
1039	1336	shm
197	1338	shm
1000	1341	shm
540	1342	shm
734	1346	shm
94	1347	shm
64	1353	shm
1865	1354	shm
490	1355	shm
614	1356	shm
313	1358	shm
645	1359	shm
396	1362	shm
1239	1365	shm
444	1372	shm
1473	1378	shm
1196	1385	shm
298	1388	shm
655	1389	shm
1228	1394	shm
954	1415	shm
