from	to	interaction
7	3	shm
38	4	shm
1373	5	shm
58	8	shm
35	12	shm
3	16	shm
1326	17	shm
3472	32	shm
3	34	shm
1	38	shm
76	39	shm
96	43	shm
1392	47	shm
16	48	shm
87	54	shm
161	55	shm
2040	56	shm
31	59	shm
132	64	shm
1	65	shm
2537	70	shm
1392	89	shm
3449	95	shm
197	103	shm
96	106	shm
1	107	shm
242	115	shm
3470	117	shm
1862	121	shm
70	122	shm
77	127	shm
12	139	shm
616	145	shm
360	152	shm
39	165	shm
1	181	shm
64	183	shm
303	185	shm
2481	191	shm
70	194	shm
39	197	shm
3	206	shm
3	211	shm
360	214	shm
1421	216	shm
1	221	shm
431	223	shm
524	249	shm
39	272	shm
2592	301	shm
1	305	shm
3	309	shm
5	326	shm
388	332	shm
3	341	shm
40	342	shm
2416	354	shm
81	360	shm
267	361	shm
81	369	shm
251	388	shm
40	390	shm
2939	406	shm
378	411	shm
909	420	shm
184	422	shm
99	425	shm
519	443	shm
4	453	shm
360	466	shm
69	478	shm
12	486	shm
417	493	shm
5	499	shm
102	501	shm
595	502	shm
152	511	shm
1631	517	shm
38	519	shm
5	527	shm
23	534	shm
360	538	shm
206	550	shm
8	570	shm
14	591	shm
17	595	shm
35	615	shm
744	617	shm
360	641	shm
360	642	shm
17	655	shm
1	665	shm
30	673	shm
434	677	shm
44	684	shm
8	686	shm
95	688	shm
595	689	shm
570	710	shm
7	725	shm
39	732	shm
120	738	shm
5	741	shm
111	747	shm
1308	757	shm
438	764	shm
130	780	shm
8	812	shm
326	817	shm
4	825	shm
206	826	shm
23	832	shm
417	840	shm
39	853	shm
360	865	shm
3052	866	shm
33	867	shm
17	869	shm
655	875	shm
730	877	shm
161	899	shm
211	902	shm
21	908	shm
257	909	shm
3470	916	shm
4	918	shm
499	937	shm
21	941	shm
206	949	shm
303	950	shm
34	955	shm
757	956	shm
2216	965	shm
39	985	shm
21	1005	shm
550	1006	shm
169	1007	shm
1036	1017	shm
76	1020	shm
