from	to	interaction
200	1062	shm
1208	811	shm
966	968	shm
966	986	shm
4	391	shm
4	632	shm
4	837	shm
4	906	shm
91	1221	shm
927	1180	shm
185	327	shm
185	910	shm
235	185	shm
327	723	shm
327	1118	shm
327	1187	shm
167	327	shm
1187	541	shm
723	860	shm
723	969	shm
799	723	shm
799	860	shm
1187	969	shm
461	969	shm
235	167	shm
167	704	shm
167	799	shm
799	461	shm
0	915	shm
0	35	shm
0	92	shm
0	331	shm
386	0	shm
0	401	shm
0	500	shm
0	613	shm
0	640	shm
0	642	shm
0	824	shm
0	945	shm
0	982	shm
0	1007	shm
0	1046	shm
0	1063	shm
35	55	shm
35	177	shm
35	484	shm
35	576	shm
35	600	shm
35	696	shm
35	867	shm
35	963	shm
35	993	shm
35	1186	shm
331	55	shm
55	371	shm
55	396	shm
55	424	shm
55	1028	shm
55	1096	shm
55	1159	shm
92	867	shm
982	123	shm
177	424	shm
177	539	shm
177	555	shm
177	746	shm
177	989	shm
177	1085	shm
177	1101	shm
331	557	shm
331	597	shm
331	739	shm
331	777	shm
331	1160	shm
371	570	shm
642	371	shm
371	766	shm
371	778	shm
371	888	shm
963	371	shm
696	396	shm
396	784	shm
396	835	shm
396	851	shm
396	888	shm
396	923	shm
396	975	shm
396	1107	shm
396	1152	shm
396	1155	shm
1160	396	shm
401	539	shm
401	597	shm
401	746	shm
424	628	shm
424	778	shm
424	1061	shm
424	1155	shm
424	1176	shm
484	539	shm
484	615	shm
484	805	shm
484	883	shm
484	989	shm
484	1101	shm
484	1159	shm
500	777	shm
500	917	shm
570	548	shm
600	548	shm
778	548	shm
835	548	shm
1028	548	shm
1155	548	shm
1176	548	shm
1196	548	shm
600	551	shm
696	551	shm
600	555	shm
557	620	shm
557	673	shm
557	766	shm
557	863	shm
557	923	shm
557	1022	shm
557	1130	shm
557	1159	shm
600	570	shm
570	835	shm
1028	570	shm
576	721	shm
597	587	shm
600	587	shm
746	587	shm
1028	587	shm
1107	587	shm
1155	587	shm
1176	587	shm
1196	587	shm
597	703	shm
597	1107	shm
600	835	shm
600	836	shm
600	975	shm
600	1028	shm
600	1176	shm
1063	615	shm
1159	620	shm
642	883	shm
642	963	shm
766	673	shm
883	673	shm
1046	673	shm
1159	673	shm
696	746	shm
696	805	shm
746	703	shm
1107	703	shm
1155	703	shm
883	766	shm
766	923	shm
1159	766	shm
778	802	shm
917	784	shm
1155	802	shm
805	923	shm
1028	835	shm
1028	836	shm
1096	836	shm
1063	851	shm
883	923	shm
963	883	shm
1160	917	shm
1159	923	shm
1028	975	shm
1160	976	shm
1196	976	shm
1159	1022	shm
1028	1176	shm
1046	1061	shm
1063	1130	shm
1096	1152	shm
1159	1130	shm
1155	1204	shm
1160	1196	shm
78	900	shm
78	1215	shm
679	862	shm
172	1025	shm
1206	937	shm
1206	1147	shm
66	305	shm
136	471	shm
159	814	shm
683	800	shm
683	886	shm
29	830	shm
29	1100	shm
812	659	shm
375	568	shm
108	1098	shm
504	1037	shm
19	925	shm
398	1082	shm
954	1183	shm
815	5	shm
5	241	shm
5	732	shm
5	740	shm
5	958	shm
241	1213	shm
38	252	shm
38	411	shm
38	690	shm
38	893	shm
893	538	shm
1119	695	shm
256	999	shm
256	1109	shm
309	905	shm
309	934	shm
787	586	shm
905	586	shm
905	787	shm
7	524	shm
283	1074	shm
232	749	shm
232	1105	shm
410	932	shm
303	83	shm
83	868	shm
498	1009	shm
206	757	shm
757	793	shm
873	846	shm
1093	446	shm
796	479	shm
796	662	shm
22	751	shm
22	1030	shm
215	686	shm
215	1125	shm
798	686	shm
287	960	shm
84	196	shm
84	588	shm
84	1182	shm
196	1120	shm
1120	534	shm
588	1197	shm
344	592	shm
744	822	shm
869	744	shm
1052	744	shm
1172	744	shm
869	822	shm
1052	822	shm
1172	822	shm
1052	869	shm
1052	1026	shm
1052	1172	shm
46	763	shm
46	964	shm
378	897	shm
144	928	shm
268	405	shm
268	912	shm
405	719	shm
437	462	shm
41	416	shm
41	57	shm
41	270	shm
57	645	shm
490	1038	shm
745	493	shm
894	773	shm
63	194	shm
194	431	shm
194	1086	shm
431	880	shm
431	1091	shm
1086	880	shm
188	747	shm
139	730	shm
1089	813	shm
656	692	shm
274	1099	shm
1099	1018	shm
190	901	shm
190	1220	shm
901	678	shm
1220	876	shm
379	665	shm
184	706	shm
513	914	shm
238	667	shm
736	942	shm
191	974	shm
191	1014	shm
43	1121	shm
1075	1106	shm
848	336	shm
950	848	shm
336	661	shm
950	336	shm
17	366	shm
17	384	shm
17	385	shm
17	791	shm
17	825	shm
436	17	shm
49	525	shm
49	529	shm
49	1071	shm
110	436	shm
436	44	shm
44	807	shm
44	821	shm
44	933	shm
44	1163	shm
44	1218	shm
436	236	shm
236	1189	shm
436	1073	shm
436	1201	shm
821	574	shm
1218	574	shm
1201	741	shm
1201	807	shm
1201	933	shm
23	275	shm
23	1065	shm
30	722	shm
847	543	shm
203	573	shm
64	1078	shm
765	832	shm
348	1158	shm
748	292	shm
292	973	shm
517	921	shm
517	1035	shm
214	439	shm
871	694	shm
112	1043	shm
102	262	shm
262	842	shm
226	890	shm
226	1127	shm
839	400	shm
265	589	shm
383	1162	shm
660	948	shm
466	542	shm
266	708	shm
654	578	shm
192	1209	shm
332	323	shm
323	601	shm
332	601	shm
332	943	shm
474	142	shm
367	782	shm
533	899	shm
533	1207	shm
922	444	shm
9	922	shm
922	180	shm
922	603	shm
151	1068	shm
877	795	shm
1138	1080	shm
60	392	shm
60	1084	shm
60	1214	shm
285	967	shm
1214	771	shm
967	1112	shm
40	604	shm
248	463	shm
248	1021	shm
463	1223	shm
178	895	shm
6	804	shm
6	853	shm
6	1203	shm
135	833	shm
135	940	shm
27	503	shm
27	1079	shm
503	482	shm
503	1164	shm
1079	1164	shm
278	838	shm
148	1077	shm
148	1095	shm
148	1146	shm
10	267	shm
10	322	shm
10	540	shm
267	816	shm
322	816	shm
322	1141	shm
204	1004	shm
1210	204	shm
204	508	shm
146	855	shm
146	1153	shm
855	1133	shm
369	743	shm
219	594	shm
219	881	shm
881	717	shm
881	920	shm
881	1049	shm
920	1049	shm
1044	882	shm
328	643	shm
317	770	shm
81	1190	shm
527	619	shm
527	1069	shm
537	277	shm
277	1184	shm
432	884	shm
71	1111	shm
1111	1006	shm
1111	1181	shm
575	451	shm
575	710	shm
1053	1017	shm
98	790	shm
455	1179	shm
293	562	shm
293	756	shm
293	789	shm
562	735	shm
789	701	shm
756	735	shm
624	1116	shm
37	1171	shm
76	635	shm
435	608	shm
153	404	shm
404	1008	shm
359	820	shm
106	759	shm
106	870	shm
207	516	shm
207	657	shm
207	699	shm
207	939	shm
516	1013	shm
699	1013	shm
939	1054	shm
213	1056	shm
111	724	shm
995	971	shm
113	547	shm
280	941	shm
610	1134	shm
68	980	shm
