from	to	interaction
180	2025	shm
2014	1881	shm
292	1708	shm
144	1395	shm
144	1788	shm
528	1291	shm
528	1344	shm
324	1528	shm
370	1383	shm
773	1342	shm
379	2033	shm
958	1476	shm
1476	1626	shm
424	41	shm
41	838	shm
424	1774	shm
1263	1183	shm
1263	1593	shm
257	1827	shm
692	1037	shm
1037	1584	shm
806	1907	shm
628	1974	shm
2096	1568	shm
837	1437	shm
70	1149	shm
1020	1446	shm
823	1666	shm
900	1631	shm
169	1329	shm
1374	317	shm
317	1873	shm
851	1518	shm
1925	851	shm
1077	1516	shm
1919	1099	shm
76	1479	shm
1629	76	shm
23	703	shm
23	596	shm
23	1387	shm
23	1746	shm
23	1946	shm
23	2002	shm
104	856	shm
104	2113	shm
664	1990	shm
461	1597	shm
864	1484	shm
1262	1696	shm
866	1487	shm
866	1510	shm
213	1999	shm
572	1643	shm
572	1678	shm
112	1017	shm
255	2115	shm
1758	620	shm
1139	1878	shm
88	2000	shm
767	1839	shm
18	1447	shm
18	1614	shm
50	1764	shm
223	1743	shm
901	1784	shm
901	1944	shm
167	1586	shm
167	1904	shm
167	2041	shm
105	1596	shm
542	1304	shm
593	1993	shm
196	391	shm
196	603	shm
196	1391	shm
196	1737	shm
196	1962	shm
196	45	shm
603	1317	shm
603	1559	shm
1962	1317	shm
1391	733	shm
1737	1556	shm
1737	1833	shm
1962	1465	shm
45	65	shm
45	733	shm
45	1515	shm
45	2063	shm
65	1465	shm
65	1468	shm
65	1973	shm
733	1468	shm
2063	1973	shm
74	1954	shm
346	1336	shm
346	1390	shm
1269	262	shm
1269	945	shm
1269	355	shm
1269	1266	shm
1269	906	shm
1269	1385	shm
1269	149	shm
149	1340	shm
1700	1835	shm
312	1887	shm
87	1752	shm
87	1619	shm
1273	1644	shm
382	1632	shm
382	1891	shm
1871	1632	shm
66	718	shm
718	1283	shm
495	1804	shm
495	1909	shm
115	1462	shm
115	2020	shm
858	1663	shm
413	1655	shm
1794	1302	shm
644	1880	shm
1151	2072	shm
962	1778	shm
479	1500	shm
576	2105	shm
186	1105	shm
186	1859	shm
980	1967	shm
1085	1651	shm
1150	2042	shm
290	1834	shm
290	2111	shm
7	477	shm
7	1372	shm
7	1687	shm
7	1692	shm
7	1938	shm
7	2099	shm
7	2100	shm
35	1634	shm
48	2010	shm
8	1647	shm
8	2054	shm
8	2117	shm
172	1610	shm
141	1677	shm
939	1652	shm
1652	1175	shm
90	1398	shm
90	1612	shm
90	1728	shm
90	1751	shm
19	616	shm
939	19	shm
19	1551	shm
19	1747	shm
19	1865	shm
19	2040	shm
616	1550	shm
616	1603	shm
939	674	shm
1865	1339	shm
1865	1524	shm
1865	1550	shm
1551	1603	shm
716	1582	shm
321	1483	shm
241	1886	shm
813	1321	shm
813	1426	shm
216	1893	shm
0	9	shm
0	152	shm
0	416	shm
0	476	shm
0	588	shm
0	748	shm
0	754	shm
