from	to	interaction
150	36	shm
2392	70	shm
106	76	shm
656	131	shm
580	143	shm
294	145	shm
540	147	shm
2837	167	shm
74	228	shm
890	238	shm
1783	251	shm
2	299	shm
656	314	shm
1712	344	shm
1998	378	shm
310	379	shm
106	453	shm
4	622	shm
1137	656	shm
764	724	shm
656	897	shm
2800	966	shm
144	974	shm
1608	987	shm
1137	997	shm
1249	1055	shm
1330	1077	shm
10	1109	shm
2805	1178	shm
15	1192	shm
1137	1233	shm
4	1260	shm
1259	1435	shm
4	1473	shm
728	1534	shm
4	1536	shm
10	1539	shm
390	1556	shm
1393	1564	shm
174	1604	shm
69	1613	shm
1	1618	shm
4	1625	shm
83	1626	shm
1	1631	shm
4	1635	shm
4	1645	shm
544	1647	shm
3	1665	shm
4	1668	shm
473	1671	shm
2	1688	shm
281	1695	shm
933	1723	shm
147	1730	shm
2330	1731	shm
11	1735	shm
1101	1742	shm
240	1743	shm
453	1744	shm
406	1755	shm
1190	1758	shm
2505	1759	shm
1260	1760	shm
988	1761	shm
1379	1762	shm
1465	1763	shm
1388	1770	shm
137	1771	shm
174	1772	shm
78	1773	shm
465	1775	shm
10	1778	shm
181	1780	shm
816	1784	shm
23	1786	shm
173	1788	shm
521	1789	shm
10	1793	shm
1496	1796	shm
546	1797	shm
865	1802	shm
528	1806	shm
1139	1807	shm
79	1809	shm
144	1810	shm
1550	1811	shm
1429	1820	shm
880	1821	shm
7	1822	shm
8	1823	shm
898	1827	shm
857	1828	shm
131	1829	shm
1109	1831	shm
133	1832	shm
78	1834	shm
1331	1835	shm
33	1836	shm
799	1837	shm
617	1838	shm
893	1841	shm
353	1842	shm
530	1843	shm
108	1844	shm
470	1847	shm
1469	1849	shm
344	1851	shm
8	1852	shm
1171	1857	shm
859	1858	shm
11	1860	shm
380	1862	shm
850	1863	shm
482	1865	shm
1235	1868	shm
137	1871	shm
1449	1874	shm
1581	1880	shm
577	1882	shm
169	1884	shm
131	1885	shm
40	1887	shm
121	1888	shm
240	1890	shm
1274	1891	shm
1255	1892	shm
577	1897	shm
74	1898	shm
316	1899	shm
102	1905	shm
100	1907	shm
121	1908	shm
219	1911	shm
694	1912	shm
170	1916	shm
53	1923	shm
2	1929	shm
1465	1935	shm
1550	1943	shm
200	1949	shm
870	1950	shm
1415	1952	shm
1536	1961	shm
1158	1965	shm
1542	1968	shm
1849	1969	shm
761	1978	shm
1632	1984	shm
10	1991	shm
159	1994	shm
1010	2004	shm
1057	2006	shm
185	2013	shm
392	2016	shm
379	2017	shm
912	2018	shm
45	2019	shm
527	2022	shm
150	2028	shm
996	2029	shm
1855	2031	shm
1794	2035	shm
1055	2036	shm
56	2042	shm
150	2044	shm
581	2046	shm
357	2048	shm
1061	2050	shm
820	2051	shm
1413	2052	shm
5	2055	shm
321	2057	shm
2	2058	shm
1546	2060	shm
414	2061	shm
1565	2062	shm
135	2063	shm
2143	2064	shm
5	2065	shm
453	2066	shm
270	2067	shm
2	2071	shm
1473	2072	shm
330	2075	shm
79	2078	shm
1421	2083	shm
544	2085	shm
1799	2086	shm
66	2093	shm
2873	2095	shm
1232	2101	shm
11	2104	shm
935	2107	shm
10	2109	shm
1039	2110	shm
401	2111	shm
808	2112	shm
478	2116	shm
212	2117	shm
147	2120	shm
660	2121	shm
621	2124	shm
575	2128	shm
189	2129	shm
802	2131	shm
824	2137	shm
171	2138	shm
250	2140	shm
8	2141	shm
477	2144	shm
4	2148	shm
612	2151	shm
319	2154	shm
564	2158	shm
616	2160	shm
43	2163	shm
514	2165	shm
654	2167	shm
10	2168	shm
89	2170	shm
212	2172	shm
1929	2175	shm
131	2176	shm
662	2184	shm
471	2185	shm
869	2187	shm
1340	2188	shm
1071	2191	shm
4	2193	shm
1067	2195	shm
1230	2201	shm
1264	2202	shm
12	2203	shm
621	2204	shm
139	2205	shm
519	2208	shm
24	2211	shm
516	2212	shm
79	2215	shm
88	2219	shm
174	2220	shm
145	2221	shm
58	2223	shm
21	2225	shm
465	2228	shm
9	2234	shm
351	2236	shm
345	2242	shm
12	2243	shm
190	2244	shm
2873	2246	shm
1934	2251	shm
1711	2253	shm
226	2258	shm
147	2259	shm
22	2261	shm
426	2262	shm
1378	2263	shm
75	2267	shm
1714	2268	shm
8	2270	shm
1473	2272	shm
151	2274	shm
1508	2283	shm
1018	2284	shm
394	2285	shm
237	2292	shm
1117	2294	shm
309	2297	shm
231	2299	shm
65	2301	shm
271	2302	shm
970	2305	shm
4	2307	shm
177	2308	shm
250	2310	shm
1084	2311	shm
1116	2312	shm
5	2313	shm
547	2322	shm
4	2323	shm
2062	2326	shm
347	2327	shm
904	2328	shm
1287	2330	shm
360	2335	shm
447	2340	shm
456	2341	shm
1293	2347	shm
240	2349	shm
5	2350	shm
12	2359	shm
189	2361	shm
20	2365	shm
7	2369	shm
824	2370	shm
141	2374	shm
189	2376	shm
324	2377	shm
1264	2381	shm
1625	2384	shm
1056	2385	shm
1381	2386	shm
250	2387	shm
9	2388	shm
906	2389	shm
117	2390	shm
4	2391	shm
471	2394	shm
121	2397	shm
281	2398	shm
65	2399	shm
756	2402	shm
80	2403	shm
694	2404	shm
316	2406	shm
53	2409	shm
309	2410	shm
470	2412	shm
2318	2415	shm
210	2419	shm
1776	2421	shm
958	2425	shm
212	2426	shm
1260	2427	shm
294	2431	shm
19	2439	shm
5	2441	shm
1329	2442	shm
1469	2450	shm
337	2451	shm
358	2452	shm
704	2455	shm
711	2457	shm
195	2458	shm
89	2460	shm
287	2461	shm
331	2465	shm
1080	2466	shm
189	2467	shm
92	2471	shm
66	2473	shm
282	2475	shm
459	2477	shm
1435	2478	shm
147	2480	shm
549	2482	shm
319	2490	shm
760	2494	shm
740	2497	shm
90	2498	shm
667	2501	shm
4	2502	shm
137	2504	shm
357	2508	shm
149	2511	shm
868	2517	shm
4	2519	shm
1675	2525	shm
1071	2526	shm
711	2529	shm
459	2538	shm
70	2539	shm
622	2540	shm
1233	2543	shm
1248	2544	shm
1340	2547	shm
1645	2548	shm
5	2550	shm
189	2551	shm
281	2561	shm
33	2563	shm
133	2565	shm
63	2567	shm
30	2568	shm
9	2570	shm
2330	2575	shm
157	2577	shm
4	2580	shm
10	2584	shm
287	2585	shm
1255	2588	shm
320	2589	shm
415	2592	shm
22	2593	shm
7	2595	shm
1324	2598	shm
171	2599	shm
123	2600	shm
994	2604	shm
1930	2606	shm
4	2607	shm
334	2612	shm
434	2614	shm
360	2617	shm
613	2618	shm
15	2620	shm
157	2621	shm
1040	2622	shm
359	2623	shm
635	2625	shm
291	2626	shm
65	2628	shm
777	2631	shm
1601	2635	shm
1465	2636	shm
1608	2641	shm
439	2642	shm
384	2644	shm
319	2647	shm
170	2650	shm
59	2652	shm
21	2654	shm
296	2655	shm
143	2656	shm
45	2657	shm
104	2663	shm
1065	2667	shm
4	2668	shm
875	2674	shm
2	2678	shm
135	2679	shm
1815	2680	shm
848	2683	shm
59	2684	shm
623	2685	shm
190	2686	shm
1619	2694	shm
180	2696	shm
617	2698	shm
69	2699	shm
1320	2700	shm
2604	2702	shm
938	2705	shm
128	2706	shm
919	2709	shm
11	2710	shm
2240	2711	shm
70	2714	shm
361	2723	shm
1194	2731	shm
331	2732	shm
745	2735	shm
60	2736	shm
645	2739	shm
1243	2744	shm
718	2745	shm
337	2747	shm
1936	2750	shm
22	2752	shm
1147	2753	shm
10	2756	shm
1551	2758	shm
2519	2763	shm
74	2765	shm
99	2766	shm
419	2768	shm
616	2771	shm
20	2772	shm
131	2773	shm
1243	2780	shm
2895	2786	shm
1561	2790	shm
1260	2791	shm
5	2792	shm
94	2793	shm
1040	2803	shm
128	2806	shm
251	2809	shm
