from	to	interaction
385	186	shm
2	390	shm
1107	501	shm
624	603	shm
1308	687	shm
1553	706	shm
982	776	shm
840	876	shm
105	889	shm
624	939	shm
105	1030	shm
325	1086	shm
1587	1098	shm
634	1140	shm
28	1208	shm
1134	1221	shm
582	1224	shm
1130	1231	shm
889	1239	shm
1470	1240	shm
458	1250	shm
274	1253	shm
1202	1264	shm
1108	1272	shm
1562	1273	shm
876	1276	shm
8	1293	shm
368	1296	shm
377	1312	shm
1308	1313	shm
32	1317	shm
882	1321	shm
48	1326	shm
1372	1339	shm
323	1343	shm
377	1353	shm
1030	1358	shm
96	1360	shm
105	1370	shm
64	1379	shm
833	1381	shm
1176	1383	shm
500	1385	shm
223	1387	shm
1303	1390	shm
385	1394	shm
105	1395	shm
877	1397	shm
877	1404	shm
212	1405	shm
889	1424	shm
1058	1430	shm
451	1443	shm
1155	1444	shm
262	1447	shm
911	1449	shm
1308	1450	shm
53	1455	shm
207	1458	shm
746	1465	shm
325	1490	shm
776	1491	shm
328	1497	shm
340	1507	shm
26	1516	shm
556	1523	shm
721	1525	shm
532	1526	shm
87	1533	shm
1695	1539	shm
96	1548	shm
486	1554	shm
770	1555	shm
1219	1559	shm
111	1567	shm
1766	1579	shm
357	1603	shm
15	1629	shm
111	1637	shm
266	1640	shm
1308	1645	shm
1202	1646	shm
501	1657	shm
46	1667	shm
1658	1674	shm
863	1691	shm
26	1696	shm
1010	1708	shm
1308	1713	shm
71	1717	shm
150	1721	shm
1679	1729	shm
452	1730	shm
46	1732	shm
50	1736	shm
384	1750	shm
429	1767	shm
