from	to	interaction
85	126	shm
2266	232	shm
1869	373	shm
647	405	shm
266	489	shm
2290	598	shm
412	666	shm
862	795	shm
1498	880	shm
2360	902	shm
733	1338	shm
1318	1352	shm
2483	1399	shm
197	1515	shm
15	1577	shm
55	1618	shm
373	1628	shm
462	1631	shm
947	1635	shm
2151	1670	shm
1082	1673	shm
1306	1694	shm
3	1720	shm
2555	1761	shm
694	1767	shm
463	1769	shm
752	1771	shm
222	1774	shm
1	1775	shm
22	1777	shm
1027	1778	shm
13	1779	shm
63	1787	shm
3	1791	shm
702	1794	shm
319	1797	shm
101	1798	shm
582	1807	shm
1581	1808	shm
1	1812	shm
540	1815	shm
2555	1819	shm
1663	1823	shm
901	1829	shm
767	1830	shm
88	1837	shm
85	1841	shm
725	1843	shm
295	1851	shm
865	1854	shm
1447	1858	shm
575	1867	shm
1581	1868	shm
488	1872	shm
942	1880	shm
888	1881	shm
2121	1883	shm
1529	1886	shm
9	1893	shm
821	1898	shm
293	1900	shm
621	1901	shm
2188	1904	shm
479	1905	shm
62	1907	shm
33	1911	shm
1320	1913	shm
1456	1920	shm
575	1922	shm
26	1923	shm
157	1924	shm
68	1925	shm
157	1926	shm
1	1927	shm
644	1928	shm
1405	1929	shm
1066	1935	shm
2101	1936	shm
254	1940	shm
811	1941	shm
1653	1943	shm
940	1951	shm
206	1953	shm
1133	1954	shm
1396	1955	shm
1029	1958	shm
73	1959	shm
4	1960	shm
28	1962	shm
108	1963	shm
26	1970	shm
847	1971	shm
1569	1974	shm
965	1976	shm
517	1977	shm
73	1978	shm
383	1980	shm
3	1981	shm
36	1983	shm
785	1984	shm
565	1989	shm
695	1992	shm
83	1993	shm
89	1995	shm
93	1997	shm
204	1998	shm
1061	2002	shm
620	2003	shm
278	2010	shm
869	2011	shm
170	2013	shm
9	2019	shm
1061	2021	shm
1150	2024	shm
2708	2025	shm
1306	2027	shm
626	2029	shm
34	2035	shm
5	2036	shm
1129	2043	shm
1548	2044	shm
1527	2045	shm
1087	2046	shm
319	2047	shm
2366	2052	shm
220	2056	shm
2620	2058	shm
2353	2070	shm
780	2071	shm
822	2073	shm
1011	2074	shm
1221	2082	shm
247	2083	shm
116	2086	shm
1288	2094	shm
1280	2095	shm
575	2097	shm
949	2106	shm
1087	2112	shm
701	2119	shm
1209	2121	shm
422	2123	shm
204	2128	shm
634	2138	shm
324	2144	shm
261	2155	shm
1227	2158	shm
776	2160	shm
2800	2162	shm
1119	2164	shm
1734	2165	shm
103	2166	shm
902	2169	shm
599	2170	shm
161	2171	shm
1	2175	shm
844	2180	shm
1	2182	shm
860	2183	shm
2469	2184	shm
1096	2188	shm
1339	2191	shm
13	2193	shm
1627	2197	shm
12	2198	shm
916	2204	shm
127	2210	shm
295	2211	shm
2076	2213	shm
96	2216	shm
984	2217	shm
427	2218	shm
1600	2221	shm
234	2222	shm
398	2223	shm
1385	2224	shm
1167	2228	shm
1702	2229	shm
9	2241	shm
482	2242	shm
424	2248	shm
230	2249	shm
484	2251	shm
50	2252	shm
2235	2254	shm
182	2255	shm
229	2257	shm
193	2262	shm
146	2263	shm
101	2268	shm
1474	2271	shm
856	2272	shm
157	2284	shm
387	2287	shm
768	2291	shm
2777	2293	shm
295	2297	shm
109	2298	shm
2074	2299	shm
2133	2301	shm
1580	2304	shm
2112	2309	shm
288	2311	shm
197	2313	shm
2112	2316	shm
415	2318	shm
575	2319	shm
483	2322	shm
331	2324	shm
1304	2325	shm
1333	2326	shm
412	2329	shm
1188	2330	shm
7	2331	shm
849	2332	shm
27	2337	shm
1657	2347	shm
891	2352	shm
287	2355	shm
162	2358	shm
91	2361	shm
2132	2362	shm
278	2365	shm
726	2370	shm
7	2372	shm
780	2373	shm
536	2374	shm
1626	2380	shm
133	2385	shm
247	2386	shm
267	2390	shm
1010	2396	shm
121	2404	shm
78	2415	shm
2845	2416	shm
2816	2417	shm
725	2418	shm
292	2421	shm
