from	to	interaction
927	473	shm
826	486	shm
614	145	shm
614	837	shm
837	1061	shm
372	237	shm
229	372	shm
33	229	shm
1054	943	shm
330	1041	shm
183	1066	shm
980	155	shm
980	418	shm
334	447	shm
432	863	shm
1062	432	shm
906	840	shm
726	414	shm
54	811	shm
54	876	shm
679	621	shm
780	621	shm
780	679	shm
619	362	shm
617	153	shm
400	235	shm
908	562	shm
810	43	shm
119	511	shm
119	193	shm
119	472	shm
119	849	shm
574	382	shm
620	1077	shm
764	706	shm
146	941	shm
356	947	shm
1011	682	shm
56	807	shm
56	600	shm
56	775	shm
56	833	shm
600	527	shm
775	527	shm
600	753	shm
833	753	shm
512	917	shm
468	700	shm
1022	912	shm
1081	273	shm
566	972	shm
227	692	shm
874	403	shm
938	403	shm
874	938	shm
197	1049	shm
1049	728	shm
325	1007	shm
741	139	shm
599	940	shm
579	479	shm
659	622	shm
670	622	shm
659	670	shm
695	453	shm
1067	257	shm
346	40	shm
180	1097	shm
84	702	shm
89	794	shm
463	117	shm
1063	117	shm
409	463	shm
635	409	shm
409	1063	shm
933	1006	shm
698	431	shm
800	440	shm
575	396	shm
265	297	shm
398	859	shm
530	897	shm
897	1076	shm
771	687	shm
899	628	shm
15	813	shm
854	786	shm
848	63	shm
966	63	shm
271	976	shm
890	871	shm
386	945	shm
1056	478	shm
708	310	shm
310	523	shm
523	637	shm
1070	531	shm
759	285	shm
960	773	shm
224	922	shm
42	489	shm
489	485	shm
624	282	shm
624	655	shm
948	919	shm
80	815	shm
80	1096	shm
717	594	shm
513	232	shm
934	513	shm
68	82	shm
470	545	shm
470	656	shm
1031	639	shm
916	492	shm
916	946	shm
483	749	shm
754	26	shm
640	918	shm
712	487	shm
1082	487	shm
1082	712	shm
126	595	shm
983	126	shm
983	723	shm
644	524	shm
997	535	shm
156	990	shm
134	678	shm
108	701	shm
1074	651	shm
1025	149	shm
1072	96	shm
1029	669	shm
730	563	shm
755	550	shm
1005	550	shm
755	1005	shm
803	1044	shm
1014	295	shm
130	569	shm
130	929	shm
1051	760	shm
464	814	shm
32	892	shm
971	32	shm
796	192	shm
796	788	shm
770	378	shm
791	378	shm
459	272	shm
769	274	shm
961	406	shm
83	226	shm
662	83	shm
774	1019	shm
905	251	shm
926	251	shm
926	905	shm
616	1017	shm
846	520	shm
1084	520	shm
846	1084	shm
991	847	shm
216	3	shm
216	1047	shm
729	675	shm
721	884	shm
112	981	shm
850	2	shm
901	2	shm
850	901	shm
399	724	shm
821	853	shm
756	18	shm
18	950	shm
1093	86	shm
141	985	shm
930	873	shm
389	567	shm
703	281	shm
664	373	shm
373	870	shm
829	507	shm
870	507	shm
870	829	shm
1091	369	shm
340	860	shm
953	827	shm
992	661	shm
208	518	shm
657	208	shm
657	667	shm
391	711	shm
317	920	shm
1043	1083	shm
956	284	shm
792	222	shm
959	222	shm
792	959	shm
974	220	shm
1080	279	shm
665	608	shm
151	865	shm
752	525	shm
738	881	shm
690	140	shm
887	140	shm
690	887	shm
326	784	shm
885	681	shm
877	1079	shm
931	336	shm
131	658	shm
