from	to	interaction
738	147	shm
953	147	shm
1272	1089	shm
1067	1388	shm
1207	300	shm
0	565	shm
742	0	shm
873	0	shm
873	742	shm
742	1091	shm
873	1091	shm
584	382	shm
877	388	shm
1370	896	shm
798	364	shm
670	48	shm
1322	636	shm
917	920	shm
163	1395	shm
1202	260	shm
82	944	shm
82	1127	shm
82	1137	shm
82	84	shm
84	944	shm
944	1319	shm
84	1127	shm
84	1137	shm
426	101	shm
426	79	shm
918	809	shm
809	1244	shm
918	1244	shm
718	154	shm
154	1351	shm
332	4	shm
4	1004	shm
4	1151	shm
814	525	shm
971	168	shm
31	960	shm
698	1345	shm
1345	712	shm
97	1228	shm
1256	689	shm
315	1251	shm
1237	907	shm
1251	907	shm
1251	1237	shm
1083	658	shm
658	1271	shm
1390	1035	shm
1275	75	shm
33	34	shm
33	994	shm
1330	33	shm
34	994	shm
1330	1194	shm
524	687	shm
1397	524	shm
766	740	shm
740	781	shm
766	781	shm
1016	1268	shm
1119	47	shm
1023	752	shm
42	849	shm
421	580	shm
777	632	shm
427	207	shm
626	261	shm
1305	446	shm
339	1024	shm
339	1146	shm
683	1012	shm
1146	683	shm
1024	1012	shm
832	1350	shm
1099	1350	shm
705	189	shm
955	1152	shm
959	696	shm
1108	696	shm
959	1108	shm
825	677	shm
1183	830	shm
23	1196	shm
1355	137	shm
1310	166	shm
377	592	shm
1341	1326	shm
1188	468	shm
71	369	shm
71	418	shm
369	818	shm
431	869	shm
1112	684	shm
1210	1171	shm
469	337	shm
1075	599	shm
331	1367	shm
1154	596	shm
811	980	shm
794	972	shm
609	245	shm
906	245	shm
609	1057	shm
1094	98	shm
520	54	shm
1339	520	shm
514	1257	shm
535	988	shm
535	1361	shm
1036	541	shm
28	1261	shm
1095	652	shm
1132	652	shm
1303	652	shm
1132	1303	shm
805	1189	shm
1249	697	shm
1074	1247	shm
947	808	shm
878	856	shm
1327	836	shm
851	1117	shm
644	1311	shm
255	41	shm
934	350	shm
879	217	shm
1195	217	shm
879	1195	shm
447	793	shm
642	672	shm
897	642	shm
950	587	shm
722	706	shm
1	114	shm
1	891	shm
216	1378	shm
1378	785	shm
422	1375	shm
522	931	shm
257	1184	shm
951	895	shm
895	1141	shm
951	1141	shm
951	92	shm
943	930	shm
930	1021	shm
943	1021	shm
278	498	shm
710	545	shm
839	710	shm
1255	710	shm
362	1362	shm
1403	529	shm
646	360	shm
374	1065	shm
1242	1252	shm
602	1352	shm
1352	709	shm
302	135	shm
6	1001	shm
6	1386	shm
6	1389	shm
843	1187	shm
1389	843	shm
1389	1187	shm
112	436	shm
112	1282	shm
187	1182	shm
963	655	shm
352	1346	shm
884	454	shm
890	454	shm
704	402	shm
1225	200	shm
1258	200	shm
553	996	shm
474	821	shm
7	1208	shm
1034	1167	shm
590	183	shm
791	183	shm
317	590	shm
317	975	shm
403	1313	shm
250	762	shm
844	1008	shm
844	1338	shm
1338	1008	shm
1276	1380	shm
35	744	shm
286	732	shm
219	942	shm
939	925	shm
939	1230	shm
1179	591	shm
973	736	shm
850	1177	shm
1006	786	shm
1006	1051	shm
1006	1236	shm
1051	1236	shm
555	170	shm
8	969	shm
1281	562	shm
1334	562	shm
1281	1334	shm
161	846	shm
1158	161	shm
1076	209	shm
561	1209	shm
546	611	shm
546	780	shm
546	872	shm
611	780	shm
1124	1274	shm
464	225	shm
1060	464	shm
384	914	shm
44	995	shm
1030	756	shm
1039	756	shm
1039	1030	shm
902	338	shm
1221	338	shm
902	1221	shm
83	1157	shm
1157	1069	shm
67	883	shm
502	719	shm
771	1009	shm
771	1273	shm
1273	1009	shm
43	792	shm
292	1382	shm
292	470	shm
470	438	shm
834	395	shm
834	1113	shm
692	205	shm
1164	481	shm
1103	1116	shm
1159	663	shm
1159	938	shm
341	848	shm
1025	406	shm
357	381	shm
282	1402	shm
1402	863	shm
929	1090	shm
1342	657	shm
58	631	shm
58	1316	shm
631	1048	shm
1316	1048	shm
676	640	shm
1180	513	shm
589	1130	shm
272	323	shm
1308	271	shm
353	707	shm
353	1308	shm
194	886	shm
782	223	shm
240	1081	shm
1136	5	shm
497	637	shm
1168	600	shm
637	1168	shm
853	721	shm
73	1219	shm
751	386	shm
386	842	shm
842	1366	shm
992	787	shm
318	828	shm
500	1263	shm
1040	1077	shm
1245	585	shm
729	476	shm
1020	899	shm
916	1377	shm
880	1287	shm
335	385	shm
335	1165	shm
800	822	shm
1072	822	shm
1165	822	shm
1072	1165	shm
564	757	shm
564	1140	shm
753	815	shm
753	1011	shm
753	1163	shm
1011	815	shm
815	1163	shm
1011	1163	shm
773	1056	shm
675	826	shm
978	55	shm
1335	55	shm
978	1335	shm
1037	379	shm
1037	1061	shm
699	1324	shm
1324	1173	shm
1206	864	shm
1246	136	shm
1315	136	shm
1315	1246	shm
1178	1320	shm
1309	1235	shm
1401	1235	shm
679	293	shm
1312	1215	shm
1018	425	shm
577	401	shm
1166	1118	shm
1260	1118	shm
1260	1166	shm
327	181	shm
946	772	shm
627	574	shm
627	1337	shm
760	1017	shm
760	1026	shm
1017	1026	shm
829	519	shm
1109	176	shm
1332	176	shm
365	536	shm
365	1332	shm
536	1109	shm
746	776	shm
806	746	shm
1277	746	shm
806	776	shm
1019	776	shm
1277	776	shm
806	1019	shm
806	1277	shm
1277	1019	shm
804	1314	shm
1031	1222	shm
1028	17	shm
593	36	shm
908	138	shm
118	1010	shm
371	1405	shm
892	487	shm
12	1145	shm
230	1213	shm
566	1062	shm
1062	977	shm
647	449	shm
1205	449	shm
724	1270	shm
789	246	shm
796	281	shm
936	608	shm
982	608	shm
1050	608	shm
936	982	shm
1050	936	shm
1050	982	shm
733	700	shm
1129	1033	shm
1129	1176	shm
654	1349	shm
820	965	shm
986	1240	shm
417	701	shm
701	653	shm
394	159	shm
941	198	shm
862	1344	shm
20	745	shm
607	493	shm
1328	607	shm
778	1038	shm
1279	778	shm
1279	1038	shm
473	348	shm
1044	195	shm
506	231	shm
538	231	shm
231	1280	shm
313	1333	shm
37	859	shm
37	1148	shm
37	1385	shm
1385	999	shm
266	1323	shm
1015	461	shm
1278	651	shm
1063	150	shm
1284	399	shm
540	1284	shm
1336	330	shm
1304	284	shm
376	812	shm
108	919	shm
108	935	shm
549	392	shm
552	993	shm
1013	279	shm
