from	to	interaction
885	529	shm
915	529	shm
885	915	shm
132	792	shm
795	35	shm
316	1062	shm
839	1074	shm
976	33	shm
844	187	shm
1004	187	shm
1083	187	shm
844	1083	shm
190	627	shm
956	65	shm
938	268	shm
701	654	shm
802	987	shm
134	525	shm
525	73	shm
690	143	shm
725	264	shm
880	441	shm
923	441	shm
923	880	shm
923	1077	shm
900	110	shm
1068	665	shm
794	492	shm
305	807	shm
749	424	shm
400	150	shm
409	150	shm
409	400	shm
400	705	shm
409	705	shm
1022	409	shm
409	1108	shm
1022	911	shm
1026	356	shm
1026	177	shm
2	1075	shm
709	120	shm
542	709	shm
1103	542	shm
772	357	shm
812	357	shm
826	357	shm
922	357	shm
812	772	shm
922	772	shm
812	826	shm
922	812	shm
922	826	shm
455	181	shm
745	455	shm
1043	910	shm
223	651	shm
1053	507	shm
681	593	shm
404	729	shm
623	117	shm
619	272	shm
926	394	shm
929	394	shm
929	926	shm
1058	1023	shm
553	174	shm
777	821	shm
981	67	shm
125	912	shm
125	1099	shm
279	66	shm
279	130	shm
895	130	shm
279	229	shm
279	312	shm
1024	569	shm
582	159	shm
980	582	shm
761	650	shm
722	793	shm
820	366	shm
703	611	shm
3	344	shm
3	321	shm
669	80	shm
36	248	shm
671	423	shm
662	560	shm
560	759	shm
1082	560	shm
560	1106	shm
662	759	shm
662	1106	shm
759	671	shm
827	671	shm
828	671	shm
891	671	shm
909	671	shm
1086	671	shm
1106	671	shm
759	827	shm
759	828	shm
759	909	shm
759	1086	shm
828	827	shm
1086	827	shm
1106	827	shm
828	1086	shm
891	909	shm
1082	891	shm
1106	909	shm
1082	918	shm
1106	1086	shm
935	503	shm
881	567	shm
567	1000	shm
617	1000	shm
939	686	shm
1000	686	shm
1000	939	shm
554	363	shm
778	363	shm
871	554	shm
491	676	shm
774	191	shm
1039	369	shm
817	829	shm
69	773	shm
1057	313	shm
574	940	shm
1079	907	shm
14	388	shm
388	757	shm
818	258	shm
258	1084	shm
587	565	shm
376	412	shm
702	376	shm
1011	276	shm
1090	276	shm
1011	1090	shm
203	204	shm
706	203	shm
813	973	shm
427	813	shm
427	1055	shm
427	972	shm
974	362	shm
855	227	shm
879	624	shm
917	624	shm
879	917	shm
776	849	shm
166	837	shm
255	216	shm
594	280	shm
969	342	shm
534	175	shm
982	534	shm
1038	534	shm
982	1038	shm
971	167	shm
640	653	shm
877	653	shm
886	340	shm
571	708	shm
999	226	shm
1035	111	shm
963	351	shm
697	222	shm
12	843	shm
12	894	shm
12	930	shm
894	480	shm
930	480	shm
854	408	shm
1064	1037	shm
985	524	shm
612	985	shm
1094	876	shm
1111	876	shm
1111	1094	shm
1076	310	shm
734	414	shm
575	878	shm
581	558	shm
405	64	shm
835	64	shm
815	405	shm
890	405	shm
815	835	shm
815	890	shm
890	835	shm
667	521	shm
992	667	shm
1003	667	shm
217	1080	shm
1080	800	shm
79	755	shm
79	832	shm
1078	563	shm
796	50	shm
831	50	shm
831	796	shm
735	350	shm
34	1008	shm
753	46	shm
841	605	shm
859	531	shm
247	4	shm
4	869	shm
920	247	shm
951	247	shm
989	247	shm
869	459	shm
728	510	shm
834	383	shm
716	498	shm
1056	664	shm
0	943	shm
559	417	shm
995	417	shm
586	559	shm
952	586	shm
586	995	shm
845	138	shm
738	577	shm
893	621	shm
994	401	shm
945	271	shm
1089	271	shm
373	945	shm
863	811	shm
1044	720	shm
892	22	shm
714	962	shm
788	509	shm
428	511	shm
846	428	shm
600	846	shm
1052	600	shm
808	263	shm
856	263	shm
695	85	shm
472	1047	shm
721	16	shm
16	798	shm
568	233	shm
1002	10	shm
809	1101	shm
603	382	shm
314	348	shm
41	968	shm
60	739	shm
477	975	shm
477	1104	shm
975	787	shm
1104	787	shm
996	26	shm
711	347	shm
179	875	shm
805	475	shm
858	475	shm
908	475	shm
1081	475	shm
858	805	shm
908	805	shm
838	142	shm
803	673	shm
979	673	shm
1031	673	shm
979	803	shm
979	1031	shm
543	289	shm
655	168	shm
590	447	shm
717	590	shm
646	309	shm
732	947	shm
78	1017	shm
953	184	shm
24	557	shm
92	919	shm
816	602	shm
865	197	shm
493	74	shm
336	873	shm
7	1067	shm
752	464	shm
439	331	shm
689	439	shm
162	814	shm
1007	704	shm
746	515	shm
98	303	shm
220	1087	shm
