from	to	interaction
1057	1429	shm
956	1422	shm
214	1435	shm
761	1034	shm
910	1448	shm
283	1500	shm
37	1179	shm
322	1342	shm
274	1592	shm
485	1553	shm
211	1404	shm
1120	24	shm
1120	1767	shm
1360	52	shm
52	1454	shm
1469	1239	shm
0	1405	shm
0	1471	shm
0	1761	shm
15	1023	shm
1091	1023	shm
15	1549	shm
88	15	shm
15	326	shm
15	604	shm
15	1003	shm
15	1349	shm
15	1653	shm
88	666	shm
88	674	shm
88	1091	shm
88	1112	shm
326	1130	shm
326	1285	shm
1091	1003	shm
1003	1332	shm
49	1735	shm
1154	1443	shm
1100	1264	shm
190	225	shm
190	1191	shm
190	1670	shm
190	1750	shm
190	1375	shm
11	190	shm
225	498	shm
225	928	shm
225	1214	shm
1286	461	shm
461	1615	shm
533	664	shm
928	533	shm
1191	944	shm
944	1609	shm
952	1595	shm
533	952	shm
972	1662	shm
533	972	shm
1191	1736	shm
957	1191	shm
1347	1604	shm
13	1347	shm
1286	1354	shm
1402	1358	shm
1534	937	shm
1043	646	shm
766	1043	shm
1676	1070	shm
821	1440	shm
51	821	shm
212	253	shm
253	462	shm
1286	1204	shm
1286	1545	shm
13	569	shm
1676	1051	shm
13	153	shm
550	915	shm
408	1236	shm
943	628	shm
1099	1328	shm
1099	1519	shm
1099	1580	shm
1676	1703	shm
1040	943	shm
212	1092	shm
1158	212	shm
212	1605	shm
13	1174	shm
51	1757	shm
51	1574	shm
1040	19	shm
1470	1727	shm
575	1280	shm
550	575	shm
575	370	shm
550	1280	shm
11	866	shm
51	486	shm
51	998	shm
51	1406	shm
13	51	shm
13	1650	shm
1068	591	shm
13	11	shm
11	331	shm
11	1147	shm
11	1159	shm
11	688	shm
13	957	shm
13	1631	shm
858	1739	shm
1545	1204	shm
550	370	shm
19	1367	shm
736	1372	shm
1534	1321	shm
1534	1715	shm
1281	1409	shm
1676	1281	shm
1676	1409	shm
1676	1455	shm
852	1494	shm
1561	1272	shm
206	1457	shm
75	1711	shm
1597	1326	shm
301	1521	shm
1080	1270	shm
265	1639	shm
1678	1728	shm
221	1243	shm
134	1488	shm
46	1248	shm
607	966	shm
607	1172	shm
865	1641	shm
1	1148	shm
1148	389	shm
23	264	shm
23	1461	shm
23	1763	shm
745	1464	shm
261	1446	shm
1048	1410	shm
1048	1504	shm
2	1203	shm
2	1638	shm
113	1322	shm
31	1316	shm
98	1679	shm
1153	1425	shm
1145	304	shm
304	1205	shm
1145	1005	shm
1027	1216	shm
1027	1550	shm
394	1730	shm
188	1366	shm
232	1751	shm
1428	584	shm
715	1208	shm
1082	67	shm
834	1376	shm
1340	1299	shm
900	287	shm
778	1714	shm
327	1496	shm
14	1628	shm
1356	1499	shm
70	1716	shm
958	1257	shm
360	1476	shm
16	1677	shm
839	875	shm
839	1275	shm
875	1275	shm
282	1102	shm
602	276	shm
623	276	shm
623	556	shm
623	602	shm
623	938	shm
623	282	shm
981	775	shm
775	1490	shm
832	1380	shm
1133	1220	shm
112	1304	shm
1733	576	shm
118	1527	shm
291	1633	shm
733	1451	shm
683	1416	shm
356	1602	shm
1484	1456	shm
1433	1013	shm
1307	686	shm
1307	1312	shm
1307	1449	shm
1307	1644	shm
1307	1712	shm
1371	1338	shm
581	1223	shm
769	1554	shm
137	1572	shm
876	1396	shm
876	1403	shm
1552	705	shm
3	1298	shm
4	585	shm
4	1245	shm
4	1463	shm
4	1503	shm
63	1378	shm
808	1551	shm
921	1493	shm
932	1294	shm
309	1261	shm
1107	1271	shm
457	1249	shm
450	1442	shm
1523	467	shm
1129	1230	shm
437	1723	shm
862	1690	shm
880	350	shm
880	1721	shm
880	914	shm
86	1532	shm
555	1522	shm
61	1296	shm
61	1306	shm
1586	1097	shm
1175	1382	shm
55	1568	shm
273	1252	shm
330	1717	shm
1066	1663	shm
500	1656	shm
1106	500	shm
1111	1562	shm
1135	949	shm
85	248	shm
790	85	shm
248	1660	shm
10	421	shm
793	1746	shm
1731	45	shm
45	1666	shm
552	1483	shm
1053	1684	shm
150	1584	shm
615	1709	shm
673	1056	shm
471	1570	shm
47	1325	shm
608	1377	shm
7	1292	shm
376	1311	shm
376	1352	shm
595	527	shm
442	50	shm
25	1515	shm
25	1695	shm
1187	1507	shm
428	1766	shm
563	1593	shm
531	1525	shm
143	1287	shm
143	1327	shm
922	1691	shm
692	1536	shm
1634	1579	shm
102	1309	shm
749	1587	shm
451	1729	shm
702	165	shm
417	1622	shm
1165	1517	shm
1115	1697	shm
77	1430	shm
18	1350	shm
18	1385	shm
18	1533	shm
621	1335	shm
1439	1743	shm
1540	1481	shm
183	1437	shm
183	1577	shm
720	1524	shm
6	1246	shm
84	1583	shm
116	1180	shm
1467	1346	shm
1467	1556	shm
1661	562	shm
38	1411	shm
27	1207	shm
328	1445	shm
328	1754	shm
383	1749	shm
222	1386	shm
811	1630	shm
367	1295	shm
548	1567	shm
971	1502	shm
788	867	shm
759	97	shm
759	146	shm
384	185	shm
384	1393	shm
1686	1139	shm
633	1139	shm
286	1283	shm
110	1566	shm
110	1636	shm
708	1741	shm
1741	1163	shm
104	888	shm
104	1029	shm
104	1369	shm
104	1394	shm
888	1238	shm
888	1423	shm
1029	1357	shm
1394	1238	shm
935	1606	shm
654	1529	shm
757	1543	shm
499	1384	shm
662	1060	shm
1218	1558	shm
881	1320	shm
1201	1263	shm
1201	1645	shm
1657	1673	shm
324	1085	shm
324	1489	shm
95	1359	shm
95	1547	shm
1765	1578	shm
1694	1538	shm
207	1724	shm
671	1436	shm
339	1506	shm
1302	1389	shm
1118	1759	shm
149	1720	shm
1009	1707	shm
505	1157	shm
505	1274	shm
1157	699	shm
699	1265	shm
699	1732	shm
1274	1265	shm
1265	1526	shm
1274	1526	shm
68	1391	shm
