from	to	interaction
2161	2354	shm
744	2734	shm
2123	620	shm
620	2203	shm
1507	2282	shm
127	2705	shm
127	2805	shm
1158	2846	shm
524	2601	shm
93	2792	shm
1140	2328	shm
171	2197	shm
1550	2757	shm
1793	2034	shm
612	2617	shm
558	1845	shm
558	2766	shm
1115	2311	shm
2281	234	shm
234	2596	shm
88	2169	shm
88	2459	shm
119	2238	shm
119	2821	shm
1564	2061	shm
2061	2325	shm
513	2164	shm
545	1796	shm
293	2430	shm
293	2923	shm
293	144	shm
464	1774	shm
464	2227	shm
144	2220	shm
933	2741	shm
503	278	shm
357	2451	shm
68	1612	shm
68	2698	shm
698	1671	shm
698	2891	shm
1154	2318	shm
1311	1984	shm
286	2460	shm
286	2584	shm
403	1866	shm
89	2497	shm
2142	2063	shm
2668	2185	shm
355	2355	shm
1374	2462	shm
389	1555	shm
753	2495	shm
240	2824	shm
1705	1975	shm
1705	2502	shm
1705	2869	shm
1484	2508	shm
2391	69	shm
69	2538	shm
69	2713	shm
70	2099	shm
70	2844	shm
70	2878	shm
175	2435	shm
104	2152	shm
65	2092	shm
65	2472	shm
2589	1469	shm
1469	2718	shm
176	2307	shm
1631	1983	shm
1458	2145	shm
1263	2201	shm
1263	2380	shm
634	2624	shm
347	2419	shm
214	1781	shm
954	2796	shm
531	2758	shm
2299	392	shm
392	2811	shm
74	2266	shm
2294	283	shm
62	2566	shm
2239	2710	shm
969	2304	shm
190	1751	shm
147	2292	shm
2292	1920	shm
2292	2904	shm
823	2136	shm
823	2369	shm
170	2137	shm
170	2598	shm
19	2364	shm
19	2771	shm
19	2852	shm
2672	463	shm
960	2225	shm
960	2729	shm
633	2289	shm
615	2159	shm
615	2770	shm
815	1783	shm
653	2166	shm
1404	1892	shm
1276	1764	shm
1276	2372	shm
79	2402	shm
194	2457	shm
1600	2634	shm
242	2845	shm
1226	1974	shm
539	146	shm
146	1729	shm
146	2119	shm
146	2258	shm
146	2479	shm
146	2826	shm
368	2341	shm
64	2300	shm
64	2398	shm
64	2627	shm
280	1694	shm
280	2397	shm
280	2560	shm
1494	1919	shm
1702	2544	shm
271	1931	shm
1997	377	shm
209	2418	shm
209	2907	shm
987	1760	shm
1265	987	shm
574	2127	shm
520	1788	shm
510	1991	shm
510	1995	shm
1006	2001	shm
295	2654	shm
1212	1952	shm
1798	2085	shm
1329	1076	shm
1076	2882	shm
352	1841	shm
140	2373	shm
1428	1819	shm
211	2116	shm
211	2171	shm
211	2425	shm
579	142	shm
142	2655	shm
142	2911	shm
553	2888	shm
493	2864	shm
978	2176	shm
978	2478	shm
919	2198	shm
919	2357	shm
1111	2899	shm
156	2576	shm
156	2620	shm
1396	1790	shm
82	1625	shm
101	1904	shm
425	2261	shm
1242	2779	shm
1242	2743	shm
360	2722	shm
2286	1148	shm
622	2684	shm
897	1826	shm
26	2739	shm
359	2334	shm
359	2616	shm
359	2851	shm
1255	1901	shm
400	2110	shm
1541	1967	shm
1674	2524	shm
1232	2542	shm
1136	1232	shm
655	313	shm
655	130	shm
130	1828	shm
130	1884	shm
130	2175	shm
130	2772	shm
655	896	shm
1136	655	shm
1136	996	shm
455	2340	shm
668	1719	shm
944	2492	shm
547	2812	shm
1292	2346	shm
1033	2657	shm
1033	2863	shm
1079	2465	shm
1392	1563	shm
59	2735	shm
573	2173	shm
760	1977	shm
57	2222	shm
143	973	shm
143	1809	shm
158	1993	shm
611	2150	shm
1231	2100	shm
1067	2787	shm
21	2260	shm
21	2592	shm
21	2751	shm
1271	1908	shm
1133	2102	shm
80	2033	shm
308	2296	shm
308	2409	shm
2748	1403	shm
1286	2329	shm
2329	1730	shm
2329	2574	shm
849	1862	shm
1060	2049	shm
1455	2647	shm
239	1742	shm
239	1889	shm
239	2348	shm
246	2733	shm
236	2291	shm
1424	1378	shm
1378	1761	shm
1548	2819	shm
863	2514	shm
1330	1834	shm
249	2139	shm
249	2309	shm
249	2386	shm
1328	2441	shm
1066	2194	shm
8	2233	shm
8	2387	shm
8	2569	shm
267	1957	shm
267	2206	shm
267	2437	shm
267	2862	shm
1143	2352	shm
1055	2384	shm
518	2207	shm
518	2920	shm
1248	1054	shm
1054	2035	shm
856	1827	shm
1561	2658	shm
1721	2658	shm
333	2611	shm
703	2454	shm
2872	2094	shm
2872	2245	shm
1131	2521	shm
1131	2540	shm
543	1646	shm
543	2084	shm
710	2528	shm
710	2456	shm
803	2532	shm
152	2170	shm
152	2914	shm
1245	2336	shm
1495	1795	shm
1017	2283	shm
499	1728	shm
499	2618	shm
868	2186	shm
315	1898	shm
315	2405	shm
512	2148	shm
512	2817	shm
53	2690	shm
53	2848	shm
154	1976	shm
2275	412	shm
995	2028	shm
433	2613	shm
927	2002	shm
85	2674	shm
85	2703	shm
763	723	shm
482	2926	shm
138	2204	shm
346	2326	shm
918	2708	shm
472	1670	shm
1070	2190	shm
1070	2525	shm
2781	2351	shm
2781	2531	shm
874	2673	shm
1560	2789	shm
666	2500	shm
20	2224	shm
20	2653	shm
1083	2310	shm
107	1843	shm
0	1617	shm
0	1630	shm
2	1664	shm
11	2202	shm
11	2242	shm
11	2358	shm
225	2257	shm
529	1842	shm
624	2737	shm
418	2767	shm
738	2859	shm
98	2765	shm
1775	2420	shm
413	2060	shm
717	2744	shm
497	1999	shm
497	2124	shm
497	2707	shm
1380	2385	shm
1306	2053	shm
770	2623	shm
659	2120	shm
282	2406	shm
185	2912	shm
2912	2505	shm
1432	2721	shm
1854	2030	shm
50	2121	shm
983	1923	shm
504	2761	shm
150	2273	shm
91	2470	shm
697	2828	shm
44	2018	shm
44	2656	shm
1935	2749	shm
106	1672	shm
201	1981	shm
12	1865	shm
12	1943	shm
12	2080	shm
12	2371	shm
12	2552	shm
1943	2343	shm
936	1927	shm
1933	2250	shm
1514	2595	shm
879	1820	shm
134	2062	shm
134	2678	shm
320	2056	shm
124	2416	shm
593	1888	shm
526	2021	shm
163	2007	shm
1038	2109	shm
169	1915	shm
169	2649	shm
1412	2051	shm
38	1797	shm
38	2483	shm
341	2887	shm
680	2724	shm
680	2816	shm
1050	2453	shm
1050	2663	shm
198	2149	shm
230	2298	shm
4	2054	shm
4	2064	shm
4	2312	shm
4	2349	shm
4	2440	shm
4	2549	shm
4	2791	shm
1343	2443	shm
217	2193	shm
217	2221	shm
217	2323	shm
179	2695	shm
435	1926	shm
435	2522	shm
1138	1806	shm
174	2101	shm
344	2241	shm
652	1849	shm
1542	1636	shm
1094	2469	shm
903	2327	shm
2720	1459	shm
892	1840	shm
534	1947	shm
2836	166	shm
394	2024	shm
394	2374	shm
168	1883	shm
1711	343	shm
343	1850	shm
437	1740	shm
172	1787	shm
1170	1856	shm
2330	2919	shm
1319	2699	shm
2319	63	shm
2455	2906	shm
17	2097	shm
2093	200	shm
200	1932	shm
200	2151	shm
200	2519	shm
1241	1752	shm
1180	1992	shm
438	2641	shm
1243	2040	shm
87	2218	shm
465	1747	shm
47	1789	shm
47	1863	shm
47	1903	shm
47	2138	shm
47	2692	shm
47	2798	shm
1321	2927	shm
1216	2793	shm
2317	2414	shm
336	2450	shm
336	2746	shm
2778	2117	shm
270	2301	shm
270	2910	shm
1572	2857	shm
1030	2629	shm
52	1922	shm
52	2408	shm
1151	1641	shm
48	1681	shm
48	2715	shm
607	2158	shm
136	1770	shm
136	1870	shm
136	2503	shm
379	1861	shm
963	1134	shm
1	298	shm
1	1687	shm
1	1928	shm
1	2057	shm
1	2070	shm
1	2677	shm
6	1821	shm
6	2368	shm
6	2594	shm
6	2892	shm
1928	2174	shm
1445	2572	shm
401	1905	shm
481	1864	shm
1188	1921	shm
585	2011	shm
585	2638	shm
585	2776	shm
495	2551	shm
2867	603	shm
656	2511	shm
2867	656	shm
232	2265	shm
232	2929	shm
393	2284	shm
1377	2262	shm
800	2168	shm
446	2339	shm
2488	2642	shm
307	1945	shm
103	2662	shm
458	2476	shm
458	2537	shm
693	1911	shm
693	2403	shm
132	1831	shm
132	2564	shm
548	2481	shm
942	2313	shm
281	2474	shm
42	2162	shm
77	1772	shm
77	1833	shm
15	2669	shm
16	2768	shm
16	2839	shm
259	1613	shm
1206	1963	shm
1206	2593	shm
376	1768	shm
406	2287	shm
1929	2605	shm
1281	2240	shm
1281	2535	shm
2240	1917	shm
356	2047	shm
356	2507	shm
1016	2088	shm
13	1839	shm
13	2134	shm
13	2181	shm
13	2378	shm
13	2434	shm
228	2688	shm
1157	1964	shm
592	2004	shm
184	2012	shm
184	2827	shm
2827	2898	shm
864	1801	shm
121	2026	shm
121	2433	shm
121	2536	shm
121	2608	shm
108	2874	shm
470	2184	shm
470	2393	shm
563	2157	shm
486	709	shm
128	2820	shm
911	2017	shm
363	2361	shm
476	2143	shm
644	2738	shm
1293	2467	shm
847	2682	shm
776	2630	shm
58	2651	shm
58	2683	shm
1414	1951	shm
314	2458	shm
729	2815	shm
1273	1890	shm
587	1818	shm
587	2344	shm
188	2128	shm
188	2360	shm
188	2375	shm
188	2466	shm
188	2550	shm
589	2886	shm
1024	2585	shm
993	2603	shm
993	2877	shm
2603	2701	shm
2877	2701	shm
