from	to	interaction
83	2058	shm
435	1507	shm
1015	1806	shm
198	2010	shm
881	2028	shm
621	1617	shm
1	1237	shm
1	1363	shm
1	1784	shm
13	1	shm
13	1677	shm
1952	6	shm
6	796	shm
6	1540	shm
6	1573	shm
1681	1038	shm
1038	2002	shm
1152	1400	shm
845	757	shm
50	1423	shm
50	1768	shm
50	2070	shm
315	1535	shm
385	1426	shm
385	1769	shm
4	1701	shm
4	1829	shm
1946	4	shm
1885	1019	shm
1197	1351	shm
1799	357	shm
1126	2055	shm
170	1451	shm
865	1987	shm
476	1374	shm
1642	1792	shm
1855	1694	shm
56	1689	shm
109	1380	shm
109	1801	shm
100	1941	shm
100	1629	shm
1416	53	shm
18	1504	shm
18	1600	shm
18	1949	shm
649	1687	shm
649	1901	shm
347	1477	shm
328	1849	shm
328	1985	shm
24	1141	shm
24	1362	shm
24	1539	shm
1141	1316	shm
140	1953	shm
452	1439	shm
689	1729	shm
405	1333	shm
173	1566	shm
575	2065	shm
1181	1845	shm
581	1412	shm
928	1669	shm
1118	694	shm
702	1762	shm
245	1441	shm
413	1459	shm
413	1875	shm
2023	384	shm
384	1437	shm
551	1720	shm
551	2033	shm
68	1789	shm
469	1431	shm
12	468	shm
926	1260	shm
7	1344	shm
7	1399	shm
7	1609	shm
12	1517	shm
12	1927	shm
196	1620	shm
1324	1980	shm
37	1783	shm
225	1589	shm
280	1538	shm
39	1695	shm
257	1977	shm
257	2043	shm
233	1334	shm
233	241	shm
233	1868	shm
99	1238	shm
180	1721	shm
382	1561	shm
382	1905	shm
1868	38	shm
38	25	shm
25	1931	shm
25	2035	shm
25	2037	shm
25	2009	shm
38	1776	shm
1776	2037	shm
505	1590	shm
351	1304	shm
351	1306	shm
304	1636	shm
514	2059	shm
446	1502	shm
446	2016	shm
139	33	shm
33	1787	shm
33	812	shm
33	1448	shm
33	1664	shm
466	1413	shm
500	1522	shm
500	1641	shm
500	1970	shm
723	1469	shm
723	1613	shm
723	1853	shm
682	2045	shm
803	1924	shm
71	1500	shm
445	1815	shm
1102	1963	shm
247	1874	shm
407	1322	shm
78	1305	shm
821	1518	shm
821	1519	shm
728	1922	shm
420	1652	shm
420	1654	shm
420	1854	shm
1191	1392	shm
967	1417	shm
1194	1516	shm
121	1532	shm
564	1904	shm
480	1326	shm
296	2067	shm
1168	1996	shm
209	1656	shm
1688	209	shm
938	1910	shm
1193	1869	shm
422	1508	shm
32	1772	shm
523	1847	shm
804	1693	shm
473	1576	shm
1648	501	shm
34	1730	shm
34	1731	shm
284	1544	shm
191	1665	shm
191	1765	shm
355	2062	shm
746	1308	shm
746	1309	shm
1968	1753	shm
242	1842	shm
142	1330	shm
20	1475	shm
937	1411	shm
290	2032	shm
157	1379	shm
106	1393	shm
137	166	shm
137	687	shm
687	1736	shm
273	2063	shm
312	1567	shm
1085	2000	shm
42	1944	shm
212	1630	shm
1020	2027	shm
1248	1634	shm
1165	1838	shm
1450	1979	shm
77	1999	shm
681	619	shm
205	1366	shm
205	1419	shm
205	1473	shm
64	1939	shm
134	856	shm
856	1973	shm
105	1655	shm
360	1781	shm
1947	460	shm
332	1409	shm
232	1841	shm
463	1746	shm
661	1797	shm
661	1974	shm
69	1490	shm
406	1543	shm
657	1319	shm
393	1984	shm
763	1684	shm
195	1960	shm
593	1318	shm
593	1843	shm
930	1850	shm
1045	968	shm
55	1858	shm
670	1376	shm
1202	1556	shm
1894	2056	shm
759	1950	shm
457	1719	shm
383	2008	shm
1024	1823	shm
1239	1226	shm
254	1852	shm
254	1915	shm
423	1384	shm
297	1452	shm
35	1722	shm
35	1995	shm
35	2013	shm
345	1359	shm
2	1549	shm
2	1699	shm
1778	30	shm
123	1976	shm
359	1582	shm
359	2038	shm
46	1560	shm
46	1574	shm
46	2046	shm
805	1433	shm
805	1940	shm
72	1444	shm
72	2044	shm
720	1864	shm
426	2031	shm
372	1415	shm
675	1587	shm
675	1890	shm
797	1662	shm
923	1821	shm
691	2004	shm
2060	1897	shm
880	1921	shm
82	1365	shm
279	2064	shm
2064	1800	shm
369	1286	shm
369	1601	shm
1263	1335	shm
470	1929	shm
911	1524	shm
1011	1923	shm
91	1546	shm
1672	91	shm
91	2014	shm
807	1966	shm
515	1361	shm
636	1445	shm
636	1586	shm
636	1848	shm
525	1956	shm
202	1345	shm
202	1528	shm
202	2020	shm
0	1216	shm
0	1320	shm
0	1408	shm
0	1453	shm
0	1668	shm
0	1728	shm
309	1511	shm
149	1676	shm
149	1702	shm
568	1554	shm
17	1414	shm
17	1959	shm
573	1657	shm
9	1043	shm
9	1498	shm
9	1803	shm
9	2024	shm
9	2039	shm
1043	1918	shm
49	1354	shm
590	1621	shm
120	1427	shm
120	1436	shm
120	2026	shm
1177	1625	shm
560	1716	shm
260	1317	shm
1967	1777	shm
282	1882	shm
145	1525	shm
921	1456	shm
213	1312	shm
40	1958	shm
1958	1735	shm
58	1627	shm
683	1881	shm
238	1303	shm
238	1761	shm
571	1550	shm
606	1691	shm
833	1886	shm
891	1357	shm
834	1712	shm
549	1990	shm
544	1706	shm
478	1653	shm
1136	1360	shm
1136	1813	shm
1136	1945	shm
60	1934	shm
10	1743	shm
70	1698	shm
1200	1887	shm
398	1332	shm
133	1942	shm
1270	1770	shm
650	1751	shm
1647	1658	shm
439	1909	shm
472	1397	shm
1397	1878	shm
1272	1965	shm
1272	2061	shm
526	1340	shm
526	1410	shm
48	1108	shm
48	1418	shm
48	1462	shm
8	1307	shm
8	1352	shm
8	1494	shm
8	1844	shm
190	1740	shm
88	1611	shm
943	1579	shm
171	1819	shm
1572	1685	shm
1114	1907	shm
441	1763	shm
376	1791	shm
660	1673	shm
887	1748	shm
1147	1726	shm
1283	1661	shm
1742	1588	shm
235	1403	shm
801	1954	shm
1009	1443	shm
498	136	shm
792	1997	shm
51	1442	shm
524	1830	shm
184	1429	shm
424	2051	shm
528	1870	shm
93	1749	shm
183	1422	shm
183	1902	shm
108	1266	shm
912	1718	shm
616	1425	shm
1057	1861	shm
59	1321	shm
1139	1705	shm
36	1592	shm
36	1994	shm
159	1832	shm
243	1961	shm
243	1670	shm
481	1435	shm
481	1683	shm
26	1348	shm
26	1651	shm
26	1836	shm
26	1978	shm
21	1796	shm
566	1404	shm
973	1708	shm
1077	1877	shm
1201	1998	shm
1201	2007	shm
2007	1597	shm
753	1906	shm
1704	186	shm
712	1583	shm
438	1786	shm
685	2005	shm
128	1637	shm
164	1389	shm
164	1570	shm
164	1678	shm
122	2040	shm
961	1520	shm
188	1606	shm
996	127	shm
127	1530	shm
358	1802	shm
850	1521	shm
201	1595	shm
141	1782	shm
141	1810	shm
820	1754	shm
695	1675	shm
474	1474	shm
94	1385	shm
1553	63	shm
1631	1553	shm
63	1591	shm
1631	63	shm
1110	1375	shm
174	1774	shm
174	1793	shm
371	1975	shm
546	1992	shm
239	1892	shm
722	1752	shm
507	2053	shm
62	1536	shm
1282	1568	shm
118	1822	shm
543	1686	shm
635	2042	shm
224	1773	shm
416	1766	shm
1300	5	shm
167	1649	shm
1367	1767	shm
65	1876	shm
65	2049	shm
806	1624	shm
620	1650	shm
1692	1713	shm
663	1353	shm
894	464	shm
327	1900	shm
1337	1131	shm
3	1775	shm
1213	1198	shm
1957	1863	shm
114	1860	shm
1067	1580	shm
321	2048	shm
1071	1398	shm
1058	1347	shm
1058	1531	shm
19	1483	shm
19	1501	shm
668	1831	shm
1988	181	shm
640	1327	shm
227	1290	shm
577	1919	shm
436	1424	shm
436	1663	shm
101	1640	shm
671	1495	shm
52	1503	shm
299	1602	shm
979	1596	shm
428	2018	shm
831	1390	shm
1394	1715	shm
16	1633	shm
16	1862	shm
229	2034	shm
73	1336	shm
73	1551	shm
81	1548	shm
81	2011	shm
535	1888	shm
535	1896	shm
162	1750	shm
162	2006	shm
90	1478	shm
222	1358	shm
491	1790	shm
430	1370	shm
75	1513	shm
75	2052	shm
1066	1757	shm
28	1405	shm
289	1674	shm
250	1717	shm
144	1505	shm
111	1643	shm
281	1639	shm
665	1969	shm
1017	1812	shm
638	1867	shm
1070	1471	shm
132	1492	shm
1117	1247	shm
176	1599	shm
612	1481	shm
612	1707	shm
22	1732	shm
22	1820	shm
179	1615	shm
179	1764	shm
878	1325	shm
45	1396	shm
765	1989	shm
892	2050	shm
1163	1378	shm
1229	1430	shm
252	1962	shm
700	1682	shm
897	1895	shm
288	1948	shm
936	1552	shm
135	1466	shm
135	1928	shm
85	1468	shm
742	1937	shm
41	1331	shm
41	1558	shm
41	1632	shm
370	1467	shm
485	1529	shm
656	1983	shm
391	1555	shm
1212	1447	shm
1387	1509	shm
368	1758	shm
368	1951	shm
580	1346	shm
448	1912	shm
609	1873	shm
1182	1911	shm
148	1818	shm
187	1577	shm
594	2022	shm
15	1488	shm
959	1943	shm
827	1645	shm
396	1314	shm
396	1846	shm
766	1825	shm
